pi_system_time_s,status_code,uwb_data.local_node.id,uwb_data.local_node.role,uwb_data.anchor_info.anchor_count,dis_0,dis_1,dis_2,dis_3,imu_data.IMU_temp,imu_data.accX,imu_data.accY,imu_data.accZ,imu_data.gyroX,imu_data.gyroY,imu_data.gyroZ,imu_data.MagX,imu_data.MagY,imu_data.MagZ,imu_data.magX,imu_data.magY,imu_data.magZ,imu_data.roll,imu_data.tilt,imu_data.pan,imu_data.Qw,imu_data.Qx,imu_data.Qy,imu_data.Qz,imu_data.timestamp,imu_data.readtime
1742703764.521960,,0,Tag,4,5.923,3.666,3.595,6.189,,9.714734,-1.1554800000000000,0.101558,-0.03764,-0.07260900000000000,0.111175,-1290.843136,-479.832608,349.090624,-1290.0,-463.5,373.5,-83.243648,84.85800000000000,139.593696,-0.23000000000000000,0.634277,0.30400700000000000,0.672585,59327.095,59329.479
1742703764.541340,,0,Tag,4,5.923,3.644,3.654,6.216,,9.714689,-1.1526460000000000,0.112256,-0.002533,-0.072835,0.1113,-1283.346432,-484.395488,350.404896,-1282.5,-468.0,375.0,-83.24428000000000,84.873128,139.57814400000000,-0.22999600000000000,0.634289,0.30400700000000000,0.6725750000000000,59347.095,59349.477
1742703764.561790,,0,Tag,4,5.894,3.694,3.609,6.175,,9.700158,-1.144933,0.10219100000000000,0.081965,-0.002472,0.114497,-1289.373056,-475.87737600000000,361.284288,-1288.5,-459.0,385.5,-83.24450400000000,84.877336,139.574448,-0.22999900000000000,0.6342910000000000,0.30401,0.6725710000000000,59367.095,59369.517
1742703764.581140,,0,Tag,4,5.911,3.687,3.607,6.162,,9.702776,-1.144682,0.10221,0.032814000000000000,-0.002156,0.114322,-1283.358336,-477.10576,355.237728,-1282.5,-460.5,379.5,-83.244952,84.882104,139.57012800000000,-0.23000300000000000,0.6342950000000000,0.304011,0.672565,59387.095,59389.482
1742703764.601560,,0,Tag,4,5.952,3.708,3.6,6.218,,9.709989,-1.1545890000000000,0.094266,0.067504,-0.022864,0.184053,-1286.357376,-484.598016,354.892864,-1285.5,-468.0,379.5,-83.24544,84.889544,139.562464,-0.23000200000000000,0.6343020000000000,0.30401,0.6725600000000000,59407.095,59409.482
1742703764.620940,,0,Tag,4,5.966,3.684,3.586,6.157,,9.723063,-1.1508290000000000,0.096907,-0.001624,0.072282,0.032696000000000000,-1289.379712,-482.00620800000000,364.01113600000000,-1288.5,-465.0,388.5,-83.24509600000000,84.893536,139.558592,-0.22999900000000000,0.634303,0.304014,0.672558,59427.095,59429.516
1742703764.641380,,0,Tag,4,5.954,3.661,3.628,6.241,,9.707513000000000,-1.144325,0.11065500000000000,-0.002352,-0.019656,0.11347300000000000,-1289.3688320000000,-480.305216,359.583328,-1288.5,-463.5,384.0,-83.244344,84.89411200000000,139.557472,-0.229992,0.6343020000000000,0.304015,0.672561,59447.095,59449.479
1742703764.661800,,0,Tag,4,5.94,3.656,3.565,6.146,,9.702774,-1.14353,0.100965,-0.002203,-0.001241,0.09661400000000000,-1287.872384,-483.36963200000000,360.950432,-1287.0,-466.5,385.5,-83.24420000000000,84.89567200000000,139.55649600000000,-0.22999400000000000,0.634301,0.30402,0.672559,59467.095,59469.479
1742703764.681180,,0,Tag,4,5.904,3.724,3.626,6.182,,9.706833,-1.148629,0.105289,0.11005,-0.044093,0.084727,-1290.8797440000000,-482.00620800000000,364.007456,-1290.0,-465.0,388.5,-83.244464,84.899,139.554736,-0.23000300000000000,0.6343,0.30402800000000000,0.672553,59487.095,59489.514
1742703764.701600,,0,Tag,4,5.959,3.71,3.555,6.227,,9.731371,-1.149314,0.103906,0.068102,0.050796,0.116619,-1283.379456,-485.003072,363.890784,-1282.5,-468.0,388.5,-83.24454400000000,84.887688,139.56636800000000,-0.230009,0.634292,0.30402600000000000,0.672559,59507.095,59509.479
